Title,status,frequency,tags,link
Find First and Last Position of Element in Sorted Array,TO_DO,77.8,Array; Binary Search,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
LFU Cache,TO_DO,77.6,Hash Table; Linked List; Design; Doubly-Linked List,https://leetcode.com/problems/lfu-cache/
Push Dominoes,SOLVED,77.4,Two Pointers; String; Dynamic Programming,https://leetcode.com/problems/push-dominoes/
Construct the Lexicographically Largest Valid Sequence,TO_DO,77.4,Array; Backtracking,https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/
Search Suggestions System,TO_DO,77.3,Array; String; Binary Search; Trie; Sorting; Heap (Priority Queue),https://leetcode.com/problems/search-suggestions-system/
Number of Sub-arrays With Odd Sum,TO_DO,77.3,Array; Math; Dynamic Programming; Prefix Sum,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/
Length of Longest Fibonacci Subsequence,TO_DO,77.2,Array; Hash Table; Dynamic Programming,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/
Letter Combinations of a Phone Number,SOLVED,77.2,Hash Table; String; Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Painting a Grid With Three Different Colors,TO_DO,77.1,Dynamic Programming,https://leetcode.com/problems/painting-a-grid-with-three-different-colors/
Jump Game,SOLVED,77,Array; Dynamic Programming; Greedy,https://leetcode.com/problems/jump-game/
Find Median from Data Stream,TO_DO,77,Two Pointers; Design; Sorting; Heap (Priority Queue); Data Stream,https://leetcode.com/problems/find-median-from-data-stream/
Candy Crush,TO_DO,76.9,Array; Two Pointers; Matrix; Simulation,https://leetcode.com/problems/candy-crush/
Count Largest Group,TO_DO,76.9,Hash Table; Math,https://leetcode.com/problems/count-largest-group/
Count the Number of Fair Pairs,TO_DO,76.8,Array; Two Pointers; Binary Search; Sorting,https://leetcode.com/problems/count-the-number-of-fair-pairs/
Zero Array Transformation III,TO_DO,76.5,Array; Greedy; Sorting; Heap (Priority Queue); Prefix Sum,https://leetcode.com/problems/zero-array-transformation-iii/
Product of the Last K Numbers,TO_DO,76.4,Array; Math; Design; Data Stream; Prefix Sum,https://leetcode.com/problems/product-of-the-last-k-numbers/
Group Shifted Strings,TO_DO,76.4,Array; Hash Table; String,https://leetcode.com/problems/group-shifted-strings/
Search in Rotated Sorted Array,SOLVED,76.3,Array; Binary Search,https://leetcode.com/problems/search-in-rotated-sorted-array/
Course Schedule II,SOLVED,76.3,Depth-First Search; Breadth-First Search; Graph; Topological Sort,https://leetcode.com/problems/course-schedule-ii/
K-th Smallest in Lexicographical Order,TO_DO,76.2,Trie,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order/
Rotate Array,TO_DO,76,Array; Math; Two Pointers,https://leetcode.com/problems/rotate-array/
Insert into a Sorted Circular Linked List,TO_DO,76,Linked List,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/
Largest Number,TO_DO,75.9,Array; String; Greedy; Sorting,https://leetcode.com/problems/largest-number/
Sliding Window Maximum,TO_DO,75.8,Array; Queue; Sliding Window; Heap (Priority Queue); Monotonic Queue,https://leetcode.com/problems/sliding-window-maximum/
Count Subarrays With Fixed Bounds,TO_DO,75.8,Array; Queue; Sliding Window; Monotonic Queue,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/
Minimum Number of Flips to Make Binary Grid Palindromic II,TO_DO,75.5,Array; Two Pointers; Matrix,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii/
Minimum Cost Walk in Weighted Graph,TO_DO,75.5,Array; Bit Manipulation; Union Find; Graph,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/
Sliding Window Median,TO_DO,75.4,Array; Hash Table; Sliding Window; Heap (Priority Queue),https://leetcode.com/problems/sliding-window-median/
Coin Change,TO_DO,75.4,Array; Dynamic Programming; Breadth-First Search,https://leetcode.com/problems/coin-change/
Pascal's Triangle,TO_DO,75.3,Array; Dynamic Programming,https://leetcode.com/problems/pascals-triangle/
Word Search,TO_DO,75.2,Array; String; Backtracking; Depth-First Search; Matrix,https://leetcode.com/problems/word-search/
Count Subarrays Where Max Element Appears at Least K Times,TO_DO,75.1,Array; Sliding Window,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times/
Number of Distinct Islands,TO_DO,75,Hash Table; Depth-First Search; Breadth-First Search; Union Find; Hash Function,https://leetcode.com/problems/number-of-distinct-islands/
Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,TO_DO,75,Array; Queue; Sliding Window; Heap (Priority Queue); Ordered Set; Monotonic Queue,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/
Domino and Tromino Tiling,TO_DO,75,Dynamic Programming,https://leetcode.com/problems/domino-and-tromino-tiling/
Distribute Candies Among Children II,TO_DO,75,Math; Combinatorics; Enumeration,https://leetcode.com/problems/distribute-candies-among-children-ii/
Second Highest Salary,TO_DO,74.9,Database,https://leetcode.com/problems/second-highest-salary/
Apply Operations to Maximize Score,TO_DO,74.9,Array; Math; Stack; Greedy; Sorting; Monotonic Stack; Number Theory,https://leetcode.com/problems/apply-operations-to-maximize-score/
Word Break II,TO_DO,74.9,Array; Hash Table; String; Dynamic Programming; Backtracking; Trie; Memoization,https://leetcode.com/problems/word-break-ii/
Move Zeroes,TO_DO,74.8,Array; Two Pointers,https://leetcode.com/problems/move-zeroes/
Move Pieces to Obtain a String,TO_DO,74.7,Two Pointers; String,https://leetcode.com/problems/move-pieces-to-obtain-a-string/
Product of Array Except Self,SOLVED,74.7,Array; Prefix Sum,https://leetcode.com/problems/product-of-array-except-self/
Happy Number,SOLVED,74.6,Hash Table; Math; Two Pointers,https://leetcode.com/problems/happy-number/
Valid Anagram,SOLVED,74.6,Hash Table; String; Sorting,https://leetcode.com/problems/valid-anagram/
Palindromic Substrings,SOLVED,74.6,Two Pointers; String; Dynamic Programming,https://leetcode.com/problems/palindromic-substrings/
Design Search Autocomplete System,TO_DO,74.4,String; Depth-First Search; Design; Trie; Sorting; Heap (Priority Queue); Data Stream,https://leetcode.com/problems/design-search-autocomplete-system/
4Sum,TO_DO,74.4,Array; Two Pointers; Sorting,https://leetcode.com/problems/4sum/
Design File System,TO_DO,74.3,Hash Table; String; Design; Trie,https://leetcode.com/problems/design-file-system/
Best Time to Buy and Sell Stock II,SOLVED,74.3,Array; Dynamic Programming; Greedy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
Valid Sudoku,TO_DO,74.3,Array; Hash Table; Matrix,https://leetcode.com/problems/valid-sudoku/
Zigzag Conversion,TO_DO,74.2,String,https://leetcode.com/problems/zigzag-conversion/
Best Meeting Point,TO_DO,74,Array; Math; Sorting; Matrix,https://leetcode.com/problems/best-meeting-point/
Maximal Square,TO_DO,74,Array; Dynamic Programming; Matrix,https://leetcode.com/problems/maximal-square/
K Closest Points to Origin,SOLVED,73.8,Array; Math; Divide and Conquer; Geometry; Sorting; Heap (Priority Queue); Quickselect,https://leetcode.com/problems/k-closest-points-to-origin/
Flatten Nested List Iterator,TO_DO,73.8,Stack; Tree; Depth-First Search; Design; Queue; Iterator,https://leetcode.com/problems/flatten-nested-list-iterator/
First Missing Positive,TO_DO,73.7,Array; Hash Table,https://leetcode.com/problems/first-missing-positive/
Longest Increasing Path in a Matrix,TO_DO,73.7,Array; Dynamic Programming; Depth-First Search; Breadth-First Search; Graph; Topological Sort; Memoization; Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
Maximum Absolute Sum of Any Subarray,TO_DO,73.7,Array; Dynamic Programming,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/
Stock Price Fluctuation ,TO_DO,73.6,Hash Table; Design; Heap (Priority Queue); Data Stream; Ordered Set,https://leetcode.com/problems/stock-price-fluctuation/
Minimum Operations to Make a Uni-Value Grid,TO_DO,73.6,Array; Math; Sorting; Matrix,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/
Snapshot Array,TO_DO,73.6,Array; Hash Table; Binary Search; Design,https://leetcode.com/problems/snapshot-array/
Valid Number,TO_DO,73.6,String,https://leetcode.com/problems/valid-number/
Count Palindromic Subsequences,TO_DO,73.5,String; Dynamic Programming,https://leetcode.com/problems/count-palindromic-subsequences/
Max Sum of a Pair With Equal Sum of Digits,TO_DO,73.4,Array; Hash Table; Sorting; Heap (Priority Queue),https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits/
Largest Rectangle in Histogram,TO_DO,73.4,Array; Stack; Monotonic Stack,https://leetcode.com/problems/largest-rectangle-in-histogram/
Minesweeper,SOLVED,73.3,Array; Depth-First Search; Breadth-First Search; Matrix,https://leetcode.com/problems/minesweeper/
Construct Smallest Number From DI String,TO_DO,73.3,String; Backtracking; Stack; Greedy,https://leetcode.com/problems/construct-smallest-number-from-di-string/
Total Characters in String After Transformations II,TO_DO,73.2,Hash Table; Math; String; Dynamic Programming; Counting,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii/
Integer to Roman,TO_DO,73.1,Hash Table; Math; String,https://leetcode.com/problems/integer-to-roman/
House Robber,SOLVED,73,Array; Dynamic Programming,https://leetcode.com/problems/house-robber/
  Count Symmetric Integers,TO_DO,73,Math; Enumeration,https://leetcode.com/problems/count-symmetric-integers/
Sort Colors,SOLVED,73,Array; Two Pointers; Sorting,https://leetcode.com/problems/sort-colors/
Find K Closest Elements,TO_DO,73,Array; Two Pointers; Binary Search; Sliding Window; Sorting; Heap (Priority Queue),https://leetcode.com/problems/find-k-closest-elements/
Finding 3-Digit Even Numbers,TO_DO,72.9,Array; Hash Table; Sorting; Enumeration,https://leetcode.com/problems/finding-3-digit-even-numbers/
Meeting Scheduler,TO_DO,72.9,Array; Two Pointers; Sorting,https://leetcode.com/problems/meeting-scheduler/
Number of Visible People in a Queue,TO_DO,72.9,Array; Stack; Monotonic Stack,https://leetcode.com/problems/number-of-visible-people-in-a-queue/
Count Binary Substrings,TO_DO,72.6,Two Pointers; String,https://leetcode.com/problems/count-binary-substrings/
Top K Frequent Words,TO_DO,72.5,Array; Hash Table; String; Trie; Sorting; Heap (Priority Queue); Bucket Sort; Counting,https://leetcode.com/problems/top-k-frequent-words/
Subsets,SOLVED,72.5,Array; Backtracking; Bit Manipulation,https://leetcode.com/problems/subsets/
Frequency of the Most Frequent Element,TO_DO,72.4,Array; Binary Search; Greedy; Sliding Window; Sorting; Prefix Sum,https://leetcode.com/problems/frequency-of-the-most-frequent-element/
The k-th Lexicographical String of All Happy Strings of Length n,TO_DO,72.3,String; Backtracking,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/
Find All Possible Recipes from Given Supplies,TO_DO,72.2,Array; Hash Table; String; Graph; Topological Sort,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/
Furthest Building You Can Reach,TO_DO,72.2,Array; Greedy; Heap (Priority Queue),https://leetcode.com/problems/furthest-building-you-can-reach/
Add Strings,SOLVED,72.1,Math; String; Simulation,https://leetcode.com/problems/add-strings/
Contains Duplicate,SOLVED,72.1,Array; Hash Table; Sorting,https://leetcode.com/problems/contains-duplicate/
Minimum Add to Make Parentheses Valid,SOLVED,72,String; Stack; Greedy,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
Greatest Common Divisor of Strings,TO_DO,72,Math; String,https://leetcode.com/problems/greatest-common-divisor-of-strings/
Gas Station,ATTEMPTED,71.9,Array; Greedy,https://leetcode.com/problems/gas-station/
